id,nombre,es_default,altura,peso,experiencia_base,tipos,habilidades,habilidades_ocultas,hp,ataque,defensa,ataque_especial,defensa_especial,velocidad,total_movimientos,movimientos,descripcion,es_legendario,es_mitico,tasa_captura,felicidad_base,habitat,generacion,cadena_evolucion_url,sprite_frente,sprite_shiny,fecha_extraccion
1,bulbasaur,True,7,69,64,"grass, poison","overgrow, chlorophyll",chlorophyll,45,49,49,65,65,45,86,"razor-wind, swords-dance, cut, bind, vine-whip, headbutt, tackle, body-slam, take-down, double-edge, growl, strength, mega-drain, leech-seed, growth, razor-leaf, solar-beam, poison-powder, sleep-powder, petal-dance, string-shot, toxic, rage, mimic, double-team, defense-curl, light-screen, reflect, bide, sludge, skull-bash, amnesia, flash, rest, substitute, snore, curse, protect, sludge-bomb, mud-slap, outrage, giga-drain, endure, charm, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, safeguard, sweet-scent, synthesis, hidden-power, sunny-day, rock-smash, facade, nature-power, helping-hand, ingrain, knock-off, secret-power, weather-ball, grass-whistle, bullet-seed, magical-leaf, natural-gift, worry-seed, seed-bomb, energy-ball, leaf-storm, power-whip, captivate, grass-knot, venoshock, acid-spray, round, echoed-voice, grass-pledge, work-up, grassy-terrain, confide, grassy-glide, tera-blast, trailblaze",Una rara semilla le fue plantada en el lomo al nacer. La planta brota y crece con este Pokémon.,False,False,45,70,grassland,generation-i,https://pokeapi.co/api/v2/evolution-chain/1/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/1.png,2026-02-19T13:57:06.519773
2,ivysaur,True,10,130,142,"grass, poison","overgrow, chlorophyll",chlorophyll,60,62,63,80,80,60,83,"swords-dance, cut, bind, vine-whip, headbutt, tackle, body-slam, take-down, double-edge, growl, roar, strength, mega-drain, leech-seed, growth, razor-leaf, solar-beam, poison-powder, sleep-powder, petal-dance, string-shot, toxic, rage, mimic, double-team, defense-curl, light-screen, reflect, bide, amnesia, flash, rest, substitute, snore, curse, protect, sludge-bomb, mud-slap, outrage, giga-drain, endure, charm, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, safeguard, sweet-scent, synthesis, hidden-power, sunny-day, rock-smash, facade, nature-power, helping-hand, ingrain, knock-off, secret-power, weather-ball, bullet-seed, magical-leaf, natural-gift, worry-seed, seed-bomb, energy-ball, leaf-storm, power-whip, captivate, grass-knot, venoshock, acid-spray, round, echoed-voice, grass-pledge, work-up, grassy-terrain, confide, grassy-glide, tera-blast, trailblaze","Este Pokémon tiene un bulbo en el lomo. Dicen que, al absorber nutrientes, el bulbo se transforma en una flor grande.",False,False,45,70,grassland,generation-i,https://pokeapi.co/api/v2/evolution-chain/1/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/2.png,2026-02-19T13:57:07.176623
3,venusaur,True,20,1000,236,"grass, poison","overgrow, chlorophyll",chlorophyll,80,82,83,100,100,80,96,"swords-dance, cut, bind, vine-whip, headbutt, tackle, body-slam, take-down, double-edge, growl, roar, hyper-beam, strength, mega-drain, leech-seed, growth, razor-leaf, solar-beam, poison-powder, sleep-powder, petal-dance, string-shot, earthquake, toxic, rage, mimic, double-team, defense-curl, light-screen, reflect, bide, amnesia, flash, rest, substitute, snore, curse, protect, scary-face, sludge-bomb, mud-slap, outrage, giga-drain, endure, charm, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, safeguard, sweet-scent, synthesis, hidden-power, sunny-day, rock-smash, facade, nature-power, helping-hand, ingrain, knock-off, secret-power, weather-ball, bullet-seed, block, frenzy-plant, magical-leaf, natural-gift, worry-seed, poison-jab, seed-bomb, energy-ball, earth-power, giga-impact, rock-climb, leaf-storm, power-whip, captivate, grass-knot, venoshock, acid-spray, round, echoed-voice, grass-pledge, bulldoze, work-up, petal-blizzard, grassy-terrain, confide, stomping-tantrum, grassy-glide, terrain-pulse, tera-blast, trailblaze",Llena su cuerpo de energía con los rayos solares que captan los anchos pétalos de su flor.,False,False,45,70,grassland,generation-i,https://pokeapi.co/api/v2/evolution-chain/1/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/3.png,2026-02-19T13:57:06.914834
4,charmander,True,6,85,62,fire,"blaze, solar-power",solar-power,39,52,43,60,50,65,105,"mega-punch, fire-punch, thunder-punch, scratch, swords-dance, cut, wing-attack, mega-kick, headbutt, body-slam, take-down, double-edge, leer, bite, growl, roar, ember, flamethrower, submission, counter, seismic-toss, strength, dragon-rage, fire-spin, dig, toxic, rage, mimic, double-team, smokescreen, defense-curl, reflect, bide, fire-blast, swift, skull-bash, fury-swipes, rest, rock-slide, slash, substitute, snore, curse, protect, scary-face, belly-drum, mud-slap, outrage, endure, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, dynamic-punch, dragon-breath, iron-tail, metal-claw, hidden-power, sunny-day, crunch, ancient-power, rock-smash, beat-up, heat-wave, will-o-wisp, facade, focus-punch, helping-hand, brick-break, secret-power, weather-ball, air-cutter, overheat, rock-tomb, aerial-ace, dragon-claw, dragon-dance, natural-gift, fling, flare-blitz, dragon-pulse, dragon-rush, focus-blast, shadow-claw, fire-fang, captivate, hone-claws, flame-burst, flame-charge, round, echoed-voice, incinerate, acrobatics, inferno, fire-pledge, dragon-tail, work-up, confide, power-up-punch, breaking-swipe, tera-blast, temper-flare",La llama de su cola indica la fuerza vital de Charmander. Será brillante si está sano.,False,False,45,70,mountain,generation-i,https://pokeapi.co/api/v2/evolution-chain/2/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/4.png,2026-02-19T13:57:07.582270
5,charmeleon,True,11,190,142,fire,"blaze, solar-power",solar-power,58,64,58,80,65,80,103,"mega-punch, fire-punch, thunder-punch, scratch, swords-dance, cut, mega-kick, headbutt, body-slam, take-down, double-edge, leer, bite, growl, roar, ember, flamethrower, submission, counter, seismic-toss, strength, dragon-rage, fire-spin, dig, toxic, rage, mimic, double-team, smokescreen, defense-curl, reflect, bide, fire-blast, swift, skull-bash, fury-swipes, rest, rock-slide, slash, substitute, snore, curse, protect, scary-face, belly-drum, mud-slap, outrage, endure, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, dynamic-punch, dragon-breath, iron-tail, metal-claw, hidden-power, sunny-day, crunch, ancient-power, rock-smash, beat-up, heat-wave, will-o-wisp, facade, focus-punch, helping-hand, brick-break, secret-power, weather-ball, overheat, rock-tomb, aerial-ace, dragon-claw, dragon-dance, natural-gift, fling, flare-blitz, dragon-pulse, dragon-rush, focus-blast, shadow-claw, fire-fang, captivate, hone-claws, flame-burst, flame-charge, round, echoed-voice, incinerate, acrobatics, inferno, fire-pledge, dragon-tail, work-up, confide, power-up-punch, breaking-swipe, tera-blast, temper-flare","Suele usar la cola para derribar a su rival. Cuando lo tira, se vale de sus afiladas garras para acabar con él.",False,False,45,70,mountain,generation-i,https://pokeapi.co/api/v2/evolution-chain/2/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/5.png,2026-02-19T13:57:08.267775
6,charizard,True,17,905,240,"fire, flying","blaze, solar-power",solar-power,78,84,78,109,85,100,131,"mega-punch, fire-punch, thunder-punch, scratch, swords-dance, cut, wing-attack, fly, mega-kick, headbutt, body-slam, take-down, double-edge, leer, bite, growl, roar, ember, flamethrower, hyper-beam, submission, counter, seismic-toss, strength, solar-beam, dragon-rage, fire-spin, earthquake, fissure, dig, toxic, rage, mimic, double-team, smokescreen, defense-curl, reflect, bide, fire-blast, swift, skull-bash, fury-swipes, rest, rock-slide, slash, substitute, snore, curse, protect, scary-face, belly-drum, mud-slap, outrage, sandstorm, endure, false-swipe, swagger, fury-cutter, steel-wing, attract, sleep-talk, return, frustration, dynamic-punch, dragon-breath, iron-tail, metal-claw, hidden-power, twister, sunny-day, crunch, ancient-power, rock-smash, beat-up, heat-wave, will-o-wisp, facade, focus-punch, helping-hand, brick-break, secret-power, blaze-kick, blast-burn, weather-ball, air-cutter, overheat, rock-tomb, aerial-ace, dragon-claw, dragon-dance, roost, natural-gift, tailwind, fling, flare-blitz, air-slash, dragon-pulse, dragon-rush, focus-blast, giga-impact, shadow-claw, fire-fang, defog, captivate, ominous-wind, hone-claws, flame-burst, flame-charge, round, echoed-voice, sky-drop, incinerate, acrobatics, inferno, fire-pledge, bulldoze, dragon-tail, work-up, heat-crash, hurricane, confide, mystical-fire, power-up-punch, brutal-swing, breaking-swipe, scale-shot, dual-wingbeat, scorching-sands, tera-blast, dragon-cheer, temper-flare","Cuando lanza una descarga de fuego supercaliente, la roja llama de su cola brilla más intensamente.",False,False,45,70,mountain,generation-i,https://pokeapi.co/api/v2/evolution-chain/2/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/6.png,2026-02-19T13:57:09.057063
7,squirtle,True,5,90,63,water,"torrent, rain-dish",rain-dish,44,48,65,50,64,43,106,"mega-punch, ice-punch, mega-kick, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, mist, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, submission, counter, seismic-toss, strength, dig, toxic, confusion, rage, mimic, double-team, withdraw, defense-curl, haze, reflect, bide, waterfall, skull-bash, bubble, rest, rock-slide, substitute, snore, curse, flail, protect, mud-slap, foresight, icy-wind, outrage, endure, rollout, false-swipe, swagger, attract, sleep-talk, return, frustration, dynamic-punch, rapid-spin, iron-tail, hidden-power, rain-dance, mirror-coat, rock-smash, whirlpool, fake-out, hail, facade, focus-punch, follow-me, helping-hand, brick-break, yawn, refresh, secret-power, dive, mud-sport, weather-ball, rock-tomb, water-spout, muddy-water, iron-defense, mud-shot, water-pulse, gyro-ball, brine, natural-gift, fling, aqua-ring, aura-sphere, aqua-tail, dragon-pulse, zen-headbutt, captivate, aqua-jet, round, scald, shell-smash, water-pledge, work-up, confide, power-up-punch, liquidation, life-dew, flip-turn, wave-crash, tera-blast, ice-spinner, chilling-water",Se protege con su caparazón y luego contraataca lanzando agua a presión cuando tiene oportunidad.,False,False,45,70,waters-edge,generation-i,https://pokeapi.co/api/v2/evolution-chain/3/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/7.png,2026-02-19T13:57:10.500378
8,wartortle,True,10,225,142,water,"torrent, rain-dish",rain-dish,59,63,80,65,80,58,101,"mega-punch, ice-punch, mega-kick, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, mist, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, submission, counter, seismic-toss, strength, dig, toxic, rage, mimic, double-team, withdraw, defense-curl, haze, reflect, bide, waterfall, skull-bash, bubble, rest, rock-slide, substitute, snore, curse, flail, protect, mud-slap, icy-wind, outrage, endure, rollout, false-swipe, swagger, attract, sleep-talk, return, frustration, dynamic-punch, rapid-spin, iron-tail, hidden-power, rain-dance, mirror-coat, rock-smash, whirlpool, fake-out, hail, facade, focus-punch, helping-hand, brick-break, yawn, secret-power, dive, weather-ball, rock-tomb, water-spout, muddy-water, iron-defense, mud-shot, water-pulse, gyro-ball, brine, natural-gift, fling, aqua-ring, aura-sphere, aqua-tail, dragon-pulse, zen-headbutt, captivate, aqua-jet, round, scald, shell-smash, water-pledge, work-up, confide, power-up-punch, liquidation, life-dew, flip-turn, wave-crash, tera-blast, ice-spinner, chilling-water","Si es golpeado, esconderá su cabeza. Aun así, su cola puede seguir golpeando.",False,False,45,70,waters-edge,generation-i,https://pokeapi.co/api/v2/evolution-chain/3/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/8.png,2026-02-19T13:57:11.161735
9,blastoise,True,16,855,239,water,"torrent, rain-dish",rain-dish,79,83,100,85,105,78,120,"mega-punch, ice-punch, mega-kick, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, roar, mist, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, hyper-beam, submission, counter, seismic-toss, strength, earthquake, fissure, dig, toxic, rage, mimic, double-team, withdraw, defense-curl, haze, reflect, bide, waterfall, skull-bash, bubble, rest, rock-slide, substitute, snore, curse, flail, protect, scary-face, mud-slap, icy-wind, outrage, endure, rollout, false-swipe, swagger, attract, sleep-talk, return, frustration, dynamic-punch, rapid-spin, iron-tail, hidden-power, rain-dance, crunch, mirror-coat, rock-smash, whirlpool, fake-out, hail, facade, focus-punch, helping-hand, brick-break, yawn, secret-power, dive, hydro-cannon, weather-ball, rock-tomb, water-spout, signal-beam, muddy-water, iron-defense, mud-shot, water-pulse, gyro-ball, brine, natural-gift, fling, aqua-ring, aura-sphere, dark-pulse, aqua-tail, dragon-pulse, focus-blast, giga-impact, avalanche, zen-headbutt, flash-cannon, rock-climb, captivate, aqua-jet, smack-down, round, scald, shell-smash, water-pledge, bulldoze, dragon-tail, work-up, confide, power-up-punch, liquidation, body-press, life-dew, terrain-pulse, flip-turn, wave-crash, tera-blast, ice-spinner, chilling-water","Para acabar con su enemigo, lo aplasta con el peso de su cuerpo. En momentos de apuro, se esconde en el caparazón.",False,False,45,70,waters-edge,generation-i,https://pokeapi.co/api/v2/evolution-chain/3/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/9.png,2026-02-19T13:57:11.780968
10,caterpie,True,3,29,39,bug,"shield-dust, run-away",run-away,45,30,35,20,20,45,5,"tackle, string-shot, snore, bug-bite, electroweb","Para protegerse despide un hedor horrible de sus antenas, con el que repele a sus enemigos.",False,False,255,70,forest,generation-i,https://pokeapi.co/api/v2/evolution-chain/4/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/10.png,2026-02-19T13:57:12.460476
